London	29	51.5073219	-0.1276474
Paris	16	48.8566969	2.3514616
England	12	52.5310214	-1.2649062
France	7	46.6033540	1.8883335
Oxford	6	51.7412674	-1.2245951
Greek	6	38.9953683	21.9877132
Venice	6	45.4371908	12.3345898
Italian	5	42.6384261	12.6742970
Japanese	5	36.5748441	139.2394179
Rome	3	41.8933203	12.4829321
India   3	22.3511148	78.6677428
America	3	39.7837304	-100.4458825
Florence	3	43.7698712	11.2555757
Mexican	2	22.5000485	-100.0000375
Flemish	2	51.0375423	3.8117830
Persian	2	32.6475314	54.5643516
Verona	2	45.4384958	10.9924122
Nile	2	22.7358944	32.1137023
SanFrancisco	2	37.7790262	-122.4199061
Spanish	2	39.3260685	-4.8379791
Arabian	2	22.3743008	49.4771177
Burgundy	2	47.2780872	4.2224863
Eton	2	51.4920726	-0.6077068
Georgian	2	41.6934591	44.8014495
Sevres	  	1	48.8247407	2.2127083
Bristol	1	51.4538022	-2.5972985
Rimini	1	43.9470982	12.6307686
Germany	1	51.0834196	10.4234469
Carthage	1	36.8548083	10.3309924
Dutch	1	52.5001698	5.7480821
Fonthill	1	51.0762181	-2.1129443
Tyrian	1	33.2721211	35.1964023
Chinese	1	35.0000740	104.9999270
Perth	1	-31.9527121	115.8604796
Capri	1	40.5487747	14.2280874
Orléans	1	47.9027336	1.9086066
Dacca	1	23.8106510	90.4126466
British	1	54.3153615	-1.9180235
Sicilian	1	37.5877940	14.1550480
Jordan	1	31.1667049	36.9416280
Chili	1	-31.7613365	-71.3187697
Peruvian	1	-6.8699697	-75.0458515
Perugia	1	43.1070321	12.4029962
Vienna	1	48.2083537	16.3725042
Turkish	1	38.9597594	34.9249653
Delhi	1	28.6517178	77.2219388
Hungary	1	47.1817585	19.5060937
Egyptian	1	26.2540493	29.2675469
Bologna	1	44.4937577	11.3430308
Poland	1	52.2159330	19.1344220
Louvre	1	48.8611473	2.3380277
Cairo	1	30.0443879	31.2357257
Tunisians	1	33.8439408	9.4001380
Milan	1	45.4668000	9.1905000
Aragon	1	41.3787291	-0.7639373
Nottinghamshire	1	52.9310754	-1.1256663
Amazon	1	-4.4799250	-63.5185396
Majorca	1	39.6134018	2.8804305
Russian	1	55.7504461	37.6174943
Mentone	1	43.7753495	7.5029213

